S C:\Onyx_Workspace> python train_onyx.py
🧠 Loading existing weights for refinement...
🚀 Starting Sliding Micro-Drill. Data Size: 49152 bytes.
🎯 Targeting zero-error at Byte 257 transition.
Epoch 2 | Byte 45500/48896 | Loss: 0.0018868959
Epoch 2 | Byte 46000/48896 | Loss: 0.0012726167
Epoch 2 | Byte 46500/48896 | Loss: 0.0082234321
Epoch 2 | Byte 47000/48896 | Loss: 0.0011762655
Epoch 2 | Byte 47500/48896 | Loss: 0.0005413613
Epoch 2 | Byte 48000/48896 | Loss: 0.0077442266
Epoch 2 | Byte 48500/48896 | Loss: 0.0009942972
💾 Sliding Pass 2 Complete. Avg Loss: 0.0071461434
Epoch 3 | Byte 0/48896 | Loss: 0.0030082569
Epoch 3 | Byte 500/48896 | Loss: 0.0005387638
Epoch 3 | Byte 1000/48896 | Loss: 0.0004987009
Epoch 3 | Byte 1500/48896 | Loss: 0.0142207528
Epoch 3 | Byte 2000/48896 | Loss: 0.0035552953
Epoch 3 | Byte 2500/48896 | Loss: 0.0090454426
Epoch 3 | Byte 3000/48896 | Loss: 0.0024410337
Epoch 3 | Byte 3500/48896 | Loss: 0.0094992379
Epoch 3 | Byte 4000/48896 | Loss: 0.0008901436
Epoch 3 | Byte 4500/48896 | Loss: 0.0004723470
Epoch 3 | Byte 5000/48896 | Loss: 0.0126167182
Epoch 3 | Byte 5500/48896 | Loss: 0.0009109504
Epoch 3 | Byte 6000/48896 | Loss: 0.0036788199
Epoch 3 | Byte 6500/48896 | Loss: 0.0003993563
Epoch 3 | Byte 7000/48896 | Loss: 0.0005122488
Epoch 3 | Byte 7500/48896 | Loss: 0.0067377058
Epoch 3 | Byte 8000/48896 | Loss: 0.0089956364
Epoch 3 | Byte 8500/48896 | Loss: 0.0023037249
Epoch 3 | Byte 9000/48896 | Loss: 0.0015956508
Epoch 3 | Byte 9500/48896 | Loss: 0.0086168228
Epoch 3 | Byte 10000/48896 | Loss: 0.0195451546
Epoch 3 | Byte 10500/48896 | Loss: 0.0061691245
Epoch 3 | Byte 11000/48896 | Loss: 0.0215738434
Epoch 3 | Byte 11500/48896 | Loss: 0.0151926400
Epoch 3 | Byte 12000/48896 | Loss: 0.0008049865
Epoch 3 | Byte 12500/48896 | Loss: 0.0006721516
Epoch 3 | Byte 13000/48896 | Loss: 0.0045269639
Epoch 3 | Byte 13500/48896 | Loss: 0.0003498025
Epoch 3 | Byte 14000/48896 | Loss: 0.0125420643
Epoch 3 | Byte 14500/48896 | Loss: 0.0083663519
Epoch 3 | Byte 15000/48896 | Loss: 0.0087779025
Epoch 3 | Byte 15500/48896 | Loss: 0.0140888188
Epoch 3 | Byte 16000/48896 | Loss: 0.0002499584
Epoch 3 | Byte 16500/48896 | Loss: 0.0070175617
Epoch 3 | Byte 17000/48896 | Loss: 0.0096636740
Epoch 3 | Byte 17500/48896 | Loss: 0.0050132265
Epoch 3 | Byte 18000/48896 | Loss: 0.0025107232
Epoch 3 | Byte 18500/48896 | Loss: 0.0008458616
Epoch 3 | Byte 19000/48896 | Loss: 0.0078684548
Epoch 3 | Byte 19500/48896 | Loss: 0.0094447648
Epoch 3 | Byte 20000/48896 | Loss: 0.0208958145
Epoch 3 | Byte 20500/48896 | Loss: 0.0093392972
Epoch 3 | Byte 21000/48896 | Loss: 0.0134023130
Epoch 3 | Byte 21500/48896 | Loss: 0.0001925036
Epoch 3 | Byte 22000/48896 | Loss: 0.0034794633
Epoch 3 | Byte 22500/48896 | Loss: 0.0025036659
Epoch 3 | Byte 23000/48896 | Loss: 0.0051041865
Epoch 3 | Byte 23500/48896 | Loss: 0.0015363207
Epoch 3 | Byte 24000/48896 | Loss: 0.0079548741
Epoch 3 | Byte 24500/48896 | Loss: 0.0030480938
Epoch 3 | Byte 25000/48896 | Loss: 0.0028597787
Epoch 3 | Byte 25500/48896 | Loss: 0.0047454317
Epoch 3 | Byte 26000/48896 | Loss: 0.0088791000
Epoch 3 | Byte 26500/48896 | Loss: 0.0101467492
Epoch 3 | Byte 27000/48896 | Loss: 0.0025571224
Epoch 3 | Byte 27500/48896 | Loss: 0.0066852504
Epoch 3 | Byte 28000/48896 | Loss: 0.0184373185
Epoch 3 | Byte 28500/48896 | Loss: 0.0008687121
Epoch 3 | Byte 29000/48896 | Loss: 0.0034337749
Epoch 3 | Byte 29500/48896 | Loss: 0.0104829073
Epoch 3 | Byte 30000/48896 | Loss: 0.0039831251
